DATE,gvnbond10y,cpi,3mlibor,production,intrate,unemployment
1953-01-01,,,,,5.84,
1953-02-01,,,,,5.84,
1953-03-01,,,,,5.84,
1953-04-01,,,,,5.84,
1953-05-01,,,,,5.84,
1953-06-01,,,,,5.84,
1953-07-01,,,,,5.84,
1953-08-01,,,,,5.84,
1953-09-01,,,,,5.84,
1953-10-01,,,,,5.84,
1953-11-01,,,,,5.84,
1953-12-01,,,,,5.84,
1954-01-01,,,,,5.84,
1954-02-01,,,,,5.84,
1954-03-01,,,,,5.84,
1954-04-01,,,,,5.84,
1954-05-01,,,,,5.84,
1954-06-01,,,,,5.84,
1954-07-01,,,,,5.84,
1954-08-01,,,,,5.84,
1954-09-01,,,,,5.84,
1954-10-01,,,,,5.84,
1954-11-01,,,,,5.84,
1954-12-01,,,,,5.84,
1955-01-01,,,,,5.84,
1955-02-01,,,,,5.84,
1955-03-01,,,,,5.84,
1955-04-01,,,,,5.84,
1955-05-01,,,,,5.84,
1955-06-01,,,,,5.84,
1955-07-01,,,,,5.84,
1955-08-01,,,,,7.3,
1955-09-01,,,,,7.3,
1955-10-01,,,,,7.3,
1955-11-01,,,,,7.3,
1955-12-01,,,,,7.3,
1956-01-01,,,,,7.3,
1956-02-01,,,,,7.3,
1956-03-01,,,,,7.3,
1956-04-01,,,,,7.3,
1956-05-01,,,,,7.3,
1956-06-01,,,,,7.3,
1956-07-01,,,,,7.3,
1956-08-01,,,,,7.3,
1956-09-01,,,,,7.3,
1956-10-01,,,,,7.3,
1956-11-01,,,,,7.3,
1956-12-01,,,,,7.3,
1957-01-01,,,,,7.3,
1957-02-01,,,,,7.3,
1957-03-01,,,,,7.67,
1957-04-01,,,,,7.67,
1957-05-01,,,,,8.4,
1957-06-01,,,,,8.4,
1957-07-01,,,,,8.4,
1957-08-01,,,,,8.4,
1957-09-01,,,,,8.4,
1957-10-01,,,,,8.4,
1957-11-01,,,,,8.4,
1957-12-01,,,,,8.4,
1958-01-01,,,,,8.4,
1958-02-01,,,,,8.4,
1958-03-01,,,,,8.4,
1958-04-01,,,,,8.4,
1958-05-01,,,,,8.4,
1958-06-01,,,,,7.67,
1958-07-01,,,,,7.67,
1958-08-01,,,,,7.67,
1958-09-01,,,,,7.3,
1958-10-01,,,,,7.3,
1958-11-01,,,,,7.3,
1958-12-01,,,,,7.3,
1959-01-01,,,,,7.3,
1959-02-01,,,,,6.94,
1959-03-01,,,,,6.94,
1959-04-01,,,,,6.94,
1959-05-01,,,,,6.94,
1959-06-01,,,,,6.94,
1959-07-01,,,,,6.94,
1959-08-01,,,,,6.94,
1959-09-01,,,,,6.94,
1959-10-01,,,,,6.94,
1959-11-01,,,,,6.94,
1959-12-01,,,,,7.3,
1960-01-01,,18.098039593108698,,,7.3,1.9
1960-02-01,,18.1163574469516,,,7.3,1.7
1960-03-01,,18.061403885422898,,,7.3,1.7
1960-04-01,,18.171311008447102,,,7.3,1.7
1960-05-01,,18.3361716928335,,,7.3,1.7
1960-06-01,,18.2629002776617,,,7.3,1.6
1960-07-01,,18.2445824238188,,,7.3,1.5
1960-08-01,,18.391125254295602,,,6.94,1.6
1960-09-01,,18.537668085039,,,6.94,1.6
1960-10-01,,18.6292573543202,,,6.94,1.4
1960-11-01,,18.3728074006526,,,6.94,1.5
1960-12-01,,18.519350231396,,,6.94,1.5
1961-01-01,,18.775800185063602,,,6.57,1.5
1961-02-01,,18.867389454344803,,,6.57,1.5
1961-03-01,,18.8307537465257,,,6.57,1.3
1961-04-01,,19.0139322848217,,,6.57,1.4
1961-05-01,,18.922343015806998,,,6.57,1.5
1961-06-01,,18.922343015806998,,,6.57,1.5
1961-07-01,,19.2337465309367,,,6.94,1.5
1961-08-01,,19.380289361680102,,,6.94,1.4
1961-09-01,,19.4901964848709,,,7.3,1.4
1961-10-01,,19.911507123191498,,,7.3,1.4
1961-11-01,,20.0030963922062,,,7.3,1.5
1961-12-01,,20.1862749307687,,,7.3,1.4
1962-01-01,,20.3144999076025,,,7.3,1.3
1962-02-01,,20.241228492230803,,,7.3,1.3
1962-03-01,,20.277864199783398,,,7.3,1.3
1962-04-01,,20.497678445898398,,,7.3,1.4
1962-05-01,,20.607585569089302,,,7.3,1.2
1962-06-01,,20.534314153717602,,,7.3,1.3
1962-07-01,,20.7358105459231,,,7.3,1.3
1962-08-01,,20.7358105459231,,,7.3,1.2
1962-09-01,,20.662539130551398,,,7.3,1.2
1962-10-01,,20.827399814937802,,,6.94,1.4
1962-11-01,,20.754128399566103,,,6.57,1.3
1962-12-01,,21.175439037886697,,,6.57,1.3
1963-01-01,,21.5234782608355,,,6.57,1.4
1963-02-01,,21.6208695652032,,,6.57,1.4
1963-03-01,,21.718260869571,,,6.21,1.4
1963-04-01,,21.8156521738944,,,5.84,1.2
1963-05-01,,21.9860869564936,,,5.84,1.3
1963-06-01,,22.1565217391371,,18.8018872340854,5.84,1.1
1963-07-01,,22.010434782585502,,19.4846373291778,5.84,1.1
1963-08-01,,21.937391304354,,19.9047912338501,5.84,1.2
1963-09-01,,22.375652173920102,,19.9047912338501,5.84,1.3
1963-10-01,,22.3026086956444,,20.535022090858604,5.84,1.2
1963-11-01,,22.205217391276697,,20.8501375193628,5.84,1.2
1963-12-01,,22.3026086956444,,21.060214471699,5.84,1.3
