Date,P,D,E,CPI,Fraction,Rate GS10,RealPrice,Dividend,RealEarnings,CAPE
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,89.79,5.26,8.09,NA
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,88.31,5.10,7.85,NA
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,89.15,5.03,7.74,NA
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,95.13,5.22,8.03,NA
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,99.81,5.34,8.21,NA
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,100.55,5.42,8.34,NA
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,98.67,5.42,8.34,NA
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,101.52,5.51,8.48,NA
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,100.18,5.38,8.28,NA
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,93.54,5.30,8.15,NA
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,94.56,5.30,8.15,NA
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,94.42,5.18,7.97,NA
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,96.81,5.24,8.02,NA
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,97.21,5.31,8.07,NA
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,98.91,5.30,8.00,NA
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,99.45,5.25,7.87,NA
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,99.45,5.31,7.92,NA
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,99.20,5.41,8.03,NA
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,100.09,5.56,8.19,NA
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,98.18,5.59,8.18,NA
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,95.72,5.61,8.17,NA
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,98.26,5.80,8.40,NA
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,95.03,5.70,8.21,NA
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,98.77,5.84,8.38,NA
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,99.54,5.89,8.43,NA
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,98.16,5.81,8.29,NA
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,97.40,5.86,8.34,NA
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,96.06,5.91,8.39,NA
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,98.38,6.09,8.62,NA
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,99.95,6.32,8.93,NA
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,99.75,6.37,8.98,NA
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,99.75,6.42,9.03,NA
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,92.12,6.47,9.08,NA
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,86.05,6.67,9.34,NA
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,85.63,6.94,9.70,NA
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,91.48,6.83,9.52,NA
